As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region,Statistical Area 2,Number of offences
3/03/2025,2024,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Palmerston,,1
3/03/2025,2024,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Alice Springs,,2
3/03/2025,2024,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,East Arnhem,1
3/03/2025,2024,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Unknown ,1
3/03/2025,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Alice Springs,,7
3/03/2025,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Darwin,,3
3/03/2025,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Katherine,,1
3/03/2025,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Anindilyakwa,1
3/03/2025,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Gulf,1
3/03/2025,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Petermann - Simpson,1
3/03/2025,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Sandover - Plenty,2
3/03/2025,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Tanami,1
3/03/2025,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,West Arnhem,1
