As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region,Statistical Area 2,Number of offences
4/07/2024,2023,12,Robbery - extortion and related offences,Robbery,-,-,NT Balance,Unknown ,1
4/07/2024,2023,12,Robbery - extortion and related offences,Robbery,-,-,Palmerston,,5
4/07/2024,2023,12,Robbery - extortion and related offences,Robbery,-,-,Tennant Creek,,4
4/07/2024,2023,12,Robbery - extortion and related offences,Blackmail and extortion,-,-,Nhulunbuy,,1
4/07/2024,2023,12,Sexual assault and related offences,Sexual assault,-,-,Alice Springs,,7
4/07/2024,2023,12,Sexual assault and related offences,Sexual assault,-,-,Darwin,,18
4/07/2024,2023,12,Sexual assault and related offences,Sexual assault,-,-,Katherine,,1
4/07/2024,2023,12,Sexual assault and related offences,Sexual assault,-,-,Nhulunbuy,,1
4/07/2024,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,Alligator,1
4/07/2024,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,East Arnhem,1
4/07/2024,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,Howard Springs,2
4/07/2024,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,Tanami,1
4/07/2024,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,Victoria River,2
4/07/2024,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,West Arnhem,1
4/07/2024,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,Unknown ,2
4/07/2024,2023,12,Sexual assault and related offences,Sexual assault,-,-,Palmerston,,4
4/07/2024,2023,12,Sexual assault and related offences,Sexual assault,-,-,Tennant Creek,,1
4/07/2024,2023,12,Sexual assault and related offences,Non-assaultive sexual offences,-,-,Darwin,,1
4/07/2024,2023,12,Sexual assault and related offences,Non-assaultive sexual offences,-,-,Katherine,,2
4/07/2024,2023,12,Sexual assault and related offences,Non-assaultive sexual offences,-,-,NT Balance,Tiwi Islands,1
4/07/2024,2023,12,Sexual assault and related offences,Non-assaultive sexual offences,-,-,Palmerston,,3
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Alice Springs,,152
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Darwin,,289
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Katherine,,31
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Nhulunbuy,,3
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Alligator,10
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Anindilyakwa,4
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Barkly,2
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Daly,4
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,East Arnhem,6
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Elsey,1
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Gulf,4
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Howard Springs,6
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Humpty Doo,7
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Petermann - Simpson,5
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Sandover - Plenty,1
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Tanami,1
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Thamarrurr,2
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Tiwi Islands,10
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Victoria River,1
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Virginia,19
